restaurantLabel,cityLabel,stateLabel
Mama Mia''s Pizza_Port Orange,Port Orange,Florida
Peter Pizza_Brooklyn,Brooklyn,New_York_(state)
Spatola''s Pizza_New Hope,New Hope,Pennsylvania
East Coast Pizza_Chesterfield,Chesterfield,Missouri
Bello Vitos_Essex,Essex,Maryland
Franco''s Pizzeria_Syracuse,Syracuse,New_York_(state)
Franco''s Pizzeria_Syracuse,Syracuse,Utah
SLICE_Santa Monica,Santa Monica,California
Flippin Pizza Frederick_Frederick,Frederick,Maryland
Mancinos Grinders Pizza_Plymouth,Plymouth,Indiana
Top Tomato Pizza Cafe_Philadelphia,Philadelphia,Pennsylvania
Harlem Pizza Co_New York,New York,New_York_(state)
Planet Pizza Rye_Rye,Rye,New_York_(state)
I Love New York Pizza of Madison_Albany,Albany,New_York_(state)
San Gennaro Pizza and Pasta_Dobbs Ferry,Dobbs Ferry,New_York_(state)
Gigi''s Pizza_Yonkers,Yonkers,New_York_(state)
Two Brother''s Pizza_Huntington Beach,Huntington Beach,California
Pronto Pizza_Ocala,Ocala,Florida
Chuck''s North Street Pizzeria_Buffalo,Buffalo,New_York_(state)
Mustafio''s Pizza_San Francisco,San Francisco,California
Seve-n-Dots Publik Pizza Place_Carlisle,Carlisle,Pennsylvania
Mama Carmelas Pizza_Woodside,Woodside,New_York_(state)
D''Carlitos Pizza_Albany,Albany,New_York_(state)
Graziella''s_Brooklyn,Brooklyn,New_York_(state)
Grande Pizza Company_Boca Raton,Boca Raton,Florida
La Luna_Poughkeepsie,Poughkeepsie,New_York_(state)
Mad Mushroom Pizza_Lexington,Lexington,Kentucky
Via Roma_Merrick,Merrick,New_York_(state)
Jersey Boyz Pizza_Cumming,Cumming,Georgia_(U.S._state)
Franks Pizza_Raleigh,Raleigh,North_Carolina
TD Alfredos_Phoenixville,Phoenixville,Pennsylvania
Papa Giuseppe Pizza_Delray Beach,Delray Beach,Florida
Roman Delight_Southampton,Southampton,Pennsylvania
Joe''s Pasta &amp; Pizza_Bay Shore,Bay Shore,New_York_(state)
DAnnas Pizzeria Restaurant_Elmont,Elmont,New_York_(state)
Joe''s Pizza Pasta Subs_Plano,Plano,Texas
Big Ass Slices_Philadelphia,Philadelphia,Pennsylvania
Pizza Forum_Auburn,Auburn,Indiana
Romeo''s Pizza_Columbus,Columbus,Ohio
Piz-zetta_Brooklyn,Brooklyn,New_York_(state)
Original Mike''s Pizza_Brooklyn,Brooklyn,New_York_(state)
Bene Restaurant &amp; Pizzeria_Brooklyn,Brooklyn,New_York_(state)
Caruso''s Pizza &amp; Pasta_Plainview,Plainview,New_York_(state)
Mama Mia Pizzeria_Port Richey,Port Richey,Florida
Due Fratelli_Forest Hills,Forest Hills,New_York_(state)
Stromboli Pizza_New York,New York,New_York_(state)
Little Italy Pizza_New York,New York,New_York_(state)
Phillies Pizza_Middle Village,Middle Village,New_York_(state)
Pizza Prince_Brooklyn,Brooklyn,New_York_(state)
Mulberry Street Pizzeria Encino_Encino,Encino,California
Marios Pizza_Northampton,Northampton,Pennsylvania
Cafe Milano Italian Restaurant and Pizzeria_Clearwater,Clearwater,Florida
Sicilian Pizza &amp; Pasta_Nashville,Nashville,Tennessee
Smiling Pizza Restaurant_Brooklyn,Brooklyn,New_York_(state)
Partners Pizzeria_Buffalo,Buffalo,New_York_(state)
Marco''s Pizzeria_Newtown,Newtown,Pennsylvania
Dina''s Pizza &amp; Pub_Cleveland,Cleveland,Ohio
Tony D''s New York Pizza Restaurant_Jacksonville,Jacksonville,Florida
Pizza Ragazzi_Seattle,Seattle,Washington_(state)
Avanti Italian Restaurant &amp; Pizzeria_Pomona,Pomona,New_York_(state)
Carbone''s Pizzeria_Buffalo,Buffalo,New_York_(state)
Franklin Pizza_Brooklyn,Brooklyn,New_York_(state)
Tonys Pizza_Greencastle,Greencastle,Pennsylvania
Milanos Pizzeria Grill_Philadelphia,Philadelphia,Pennsylvania
Caesars Palace Pizzeria_New York,New York,New_York_(state)
Gotham Pizza_New York,New York,New_York_(state)
Pronto Pizza_New York,New York,New_York_(state)
Mama Mias_Seattle,Seattle,Washington_(state)
North End Pizzeria_Los Angeles,Los Angeles,California
Catania Pizza_Norfolk,Norfolk,Virginia
Piggie Pies Pizza &amp; Pasta_Dallas,Dallas,Texas
Angelo''s Pizza_Brooklyn,Brooklyn,New_York_(state)
Butera''s_Hamburg,Hamburg,New_York_(state)
Imperial Pizza_Lindenhurst,Lindenhurst,New_York_(state)
Armandos Pizza_Brooklyn,Brooklyn,New_York_(state)
Angelas Italian Restaurant_Charlotte,Charlotte,North_Carolina
Pizza Al Forno_Los Angeles,Los Angeles,California
California Pizza_Philadelphia,Philadelphia,Pennsylvania
Bona Pizza_Brooklyn,Brooklyn,New_York_(state)
Artichoke Basilles Pizza Bar_New York,New York,New_York_(state)
OMG Pizza_Brooklyn,Brooklyn,New_York_(state)
Dom and Vinnie''s Restaurant_Yonkers,Yonkers,New_York_(state)
Picasso''s Pizza_Buffalo,Buffalo,New_York_(state)
Rosarios Pronto Pizza Italian Restaurant_Leola,Leola,Pennsylvania
Lennys Pizza_Brooklyn,Brooklyn,New_York_(state)
Champion Pizza SoHo_New York,New York,New_York_(state)
Pat''s Pizzeria_Buffalo,Buffalo,New_York_(state)
Salvos Pizzabar_New York,New York,New_York_(state)
Napoli On The Bay_Naples,Naples,Florida
Tony''s Pizza_Buffalo,Buffalo,New_York_(state)
Forcella La Pizza Di Napoli_Brooklyn,Brooklyn,New_York_(state)
Villaggio''s Pizzeria_Newberry,Newberry,Florida
Chicago Pizza_Myrtle Beach,Myrtle Beach,South_Carolina
Librettos Pizzeria_New York,New York,New_York_(state)
Goodfella''s Pizza_Bronx,Bronx,New_York_(state)
Famous Original Rays Pizza_New York,New York,New_York_(state)
Villaggio''s Pizza_Tuckahoe,Tuckahoe,New_York_(state)
Sarpino''s Pizzeria_Atlanta,Atlanta,Georgia_(U.S._state)
Roccos Pizza Restaurant_Exton,Exton,Pennsylvania
Giuseppes Pizza_New York,New York,New_York_(state)
Mario''s Pizza_Philadelphia,Philadelphia,Pennsylvania
Da Nonna Rosa_Brooklyn,Brooklyn,New_York_(state)
Pizza Boy_Jackson Heights,Jackson Heights,New_York_(state)
La Nova Pizzeria_Buffalo,Buffalo,New_York_(state)
Drexel Hill Pizza_Drexel Hill,Drexel Hill,Pennsylvania
Angelo''s Pizza_Carle Place,Carle Place,New_York_(state)
Casablanca_Ithaca,Ithaca,New_York_(state)
Sorrentos Pizza Roma_Pittsburgh,Pittsburgh,Pennsylvania
Iggy''s Pizzeria_New York,New York,New_York_(state)
Daniellos Pizzeria_New York,New York,New_York_(state)
My New York Pizza_Keller,Keller,Texas
Dino''s Pizzeria_Bronx,Bronx,New_York_(state)
The Good Pizza_Playa del Rey,Playa del Rey,California
John''s Pizza Subs_Tonawanda,Tonawanda,New_York_(state)
Mario''s Pizzeria_Chappaqua,Chappaqua,New_York_(state)
Pepe''s_Buffalo,Buffalo,New_York_(state)
Big mama papas pizza_Granada Hills,Granada Hills,California
Yaghi''s New York Pizzeria_Pflugerville,Pflugerville,Texas
Antonio''s Pizzeria_Brooklyn,Brooklyn,New_York_(state)
Thornwood Pasta &amp; Pizza_Thornwood,Thornwood,New_York_(state)
Fresh Brothers_Los Angeles,Los Angeles,California
Sutton Pizza and Gyro_New York,New York,New_York_(state)
Mario''s Pizzeria_Seaford,Seaford,New_York_(state)
Scarsdale Pizza Station_Scarsdale,Scarsdale,New_York_(state)
LJ Pizza_New York,New York,New_York_(state)
Fornino_Brooklyn,Brooklyn,New_York_(state)
Three Sons Pizzeria_Maspeth,Maspeth,New_York_(state)
Mr Joe''s Pizzeria Restaurant_Plainview,Plainview,New_York_(state)
Little Italy Gourmet Pizza_New York,New York,New_York_(state)
Rays New York Pizza_Atlanta,Atlanta,Georgia_(U.S._state)
Royal Pizza_New York,New York,New_York_(state)
City Line Pizza and Pasta_Brooklyn,Brooklyn,New_York_(state)
New York Pizza Suprema_New York,New York,New_York_(state)
Coburg Pizza Company_Springfield,Springfield,Oregon
Gino''s Pizzeria_Flushing,Flushing,New_York_(state)
